Navn,Lønartnr,Udskrivnings sekvens,Type
"Saldo Max 2, pension",711,711,VARIABEL
"Saldo Max 3, pension",712,712,VARIABEL
Overfør medarbejder obligation,780,780,VARIABEL
"Månedsløn, normtid april",800,800,VARIABEL
Overfør ikke afholdt ferie,865,865,VARIABEL
Timer fra fravær/feriefri,895,895,VARIABEL
Stop feriepengeberegning,905,905,FAST
Månedsløn,1000,1000,STILLINGSKATEGORI
Månedsløn regulering,1001,1001,VARIABEL
Korrektion Løn,12001,1001,VARIABELEFTREG
Korrektion Løn ej fp. beret.,12101,1001,VARIABELEFTREG
"Reduktion, ikke ansat",1005,1005,STILLINGSKATEGORI
Månedsløn træk,1006,1006,FAST
Månedsløn træk,1007,1007,FAST
Månedsløn træk,11007,1007,FAST
Personligt tillæg,1010,1010,FAST
Personligt tillæg regulering,1011,1011,VARIABEL
Månedsløn personlig,1050,1050,FAST
Månedsløn beløb,1060,1060,FAST
Tillæg 1 tabel,1065,1065,FAST
Tillæg 2 tabel,1066,1066,FAST
Tillæg 3 tabel,1067,1067,FAST
Tillæg 4 tabel,1068,1068,FAST
Tillæg 5 tabel,1069,1069,FAST
Timeløn timer * sats,1075,1075,VARIABEL
Timeløn timer * sats,1076,1076,VARIABEL
Timeløn timer * sats,1077,1077,VARIABEL
Timeløn timer * sats,1078,1078,VARIABEL
Timeløn timer * sats,1079,1079,VARIABEL
Timeløn timer * sats,1080,1080,VARIABEL
Timeløn timer * sats,1081,1081,VARIABEL
Timeløn timer * sats,1082,1082,VARIABEL
Timeløn timer * sats,1083,1083,VARIABEL
Timeløn timer * sats,1084,1084,VARIABEL
Timeløn timer * sats,1085,1085,VARIABEL
Timeløn timer * sats,1086,1086,VARIABEL
Timeløn timer * sats,1087,1087,VARIABEL
Timeløn timer * sats,1088,1088,VARIABEL
Timeløn timer * sats,1089,1089,VARIABEL
Timeløn,1090,1090,VARIABEL
Timeløn,1091,1091,VARIABEL
Timeløn,1092,1092,VARIABEL
Timeløn,1093,1093,VARIABEL
Timeløn,1094,1094,VARIABEL
Timeløn,1095,1095,VARIABEL
Timeløn,1096,1096,VARIABEL
Timeløn,1097,1097,VARIABEL
Timeløn,1098,1098,VARIABEL
Timeløn,1099,1099,VARIABEL
Timeløn,1100,1100,VARIABEL
Timeløn,41100,1100,VARIABEL
Timeløn,41101,1100,VARIABEL
Timeløn,41102,1100,VARIABEL
Timeløn,41103,1100,VARIABEL
Timeløn,41104,1100,VARIABEL
Timeløn,44500,1100,VARIABEL
Timeløn SI,44501,1100,VARIABEL
Timeløn Intern,44503,1100,VARIABEL
Faglært Timeløn,44505,1100,VARIABEL
Ufaglært Timeløn,44506,1100,VARIABEL
Timeløn Intern vikar,44510,1100,VARIABEL
Timeløn,1101,1101,FAST
Personligt tillæg,1102,1102,VARIABEL
Personligt tillæg,44523,1102,VARIABEL
Personligt tillæg,1103,1103,FAST
Timeløn / anciennitet,1105,1105,VARIABEL
Timeløn / Input,1106,1106,VARIABEL
Timeløn / Input,1107,1107,VARIABEL
Timeløn m. red. for arb. dage,1108,1108,FAST
Timeløn timer * sats,1110,1110,VARIABEL
Korrektion timer x sats,12010,1110,VARIABELEFTREG
Korrektion timer x sats ej fp.,12110,1110,VARIABELEFTREG
A/C udbetaling,44582,1110,VARIABEL
Timeløn timer * sats,1111,1111,VARIABEL
Timeløn,1114,1114,VARIABEL
Timeløn,1115,1115,VARIABEL
Timeløn,1116,1116,VARIABEL
Timeløn,1117,1117,VARIABEL
Timeløn,1118,1118,VARIABEL
Timeløn,1119,1119,VARIABEL
Timeløn regulering t * s,1121,1121,VARIABEL
Regulering,44509,1121,VARIABEL
Regulering timeløn,44581,1121,VARIABEL
Timeløn regulering,1122,1122,VARIABEL
Timeløn med mindste værdi,1123,1123,VARIABEL
Timeafhængigt tillæg 1  t * s,1125,1125,VARIABEL
Mødetillæg,44521,1125,VARIABEL
Timeafhængigt tillæg 2  t * s,1126,1126,VARIABEL
Tructillæg,44522,1126,VARIABEL
Timeafhængigt tillæg 1  t * s,1140,1140,VARIABEL
Timeafhængigt tillæg 2  t * s,1141,1141,VARIABEL
Timeafhængigt tillæg 3  t * s,1142,1142,VARIABEL
Timeafhængigt tillæg 4  t * s,1143,1143,VARIABEL
Timeafhængigt tillæg 5  t * s,1144,1144,VARIABEL
Timeløn regulering t * s,1145,1145,VARIABEL
Timeløn regulering t * s,1146,1146,VARIABEL
Timeløn regulering t * s,1147,1147,VARIABEL
Timeløn regulering t * s,1148,1148,VARIABEL
Timeløn regulering t * s,1149,1149,VARIABEL
Timeløn regulering t * s,41140,1149,VARIABEL
Timeløn regulering t * s,41141,1149,VARIABEL
Timeløn regulering t * s,41142,1149,VARIABEL
Timeløn regulering t * s,41143,1149,VARIABEL
Timeløn regulering t * s,41144,1149,VARIABEL
Timeløn regulering t * s,41145,1149,VARIABEL
Timeløn regulering t * s,41146,1149,VARIABEL
Timeløn regulering t * s,41147,1149,VARIABEL
Timeløn regulering t * s,41148,1149,VARIABEL
Timeløn regulering t * s,41149,1149,VARIABEL
Timeløn regulering t * s,41150,1149,VARIABEL
Timeafhængigt tillæg 1,1150,1150,FAST
Timeafhængigt tillæg 1A,42150,1150,FAST
Timeafhængigt tillæg 1,1151,1151,VARIABEL
Timeløn regulering t * s,41151,1151,VARIABEL
Timeafhængigt tillæg 2,1152,1152,FAST
Timeløn regulering t * s,41152,1152,VARIABEL
Timeafhængigt tillæg 2A,42152,1152,FAST
Timeafhængigt tillæg 2,1153,1153,VARIABEL
Timeløn regulering t * s,41153,1153,VARIABEL
Timeafhængigt tillæg 3,1154,1154,FAST
Timeløn regulering t * s,41154,1154,VARIABEL
Timeafhængigt tillæg 3A,42154,1154,FAST
Timeafhængigt tillæg 3,1155,1155,VARIABEL
Timeløn regulering t * s,41155,1155,VARIABEL
Timeafhængigt tillæg 4,1156,1156,FAST
Timeafhængigt tillæg 4A,42156,1156,FAST
Timeafhængigt tillæg 4,1157,1157,VARIABEL
Timeafhængigt tillæg 5,1158,1158,FAST
Timeafhængigt tillæg 5,1159,1159,VARIABEL
"Tillæg 1, ej ferieberettiget",1160,1160,VARIABEL
"Tillæg 2, ej ferieberettiget",1161,1161,VARIABEL
"Tillæg 3, ej ferieberettiget",1162,1162,VARIABEL
"Tillæg 3, ej ferieberettiget",1165,1165,VARIABEL
"Tillæg A, ej ferieberettiget",1170,1170,FAST
"Tillæg A, ej ferieberettiget",1171,1171,VARIABEL
"Tillæg B, ej ferieberettiget",1172,1172,FAST
"Tillæg B, ej ferieberettiget",1173,1173,VARIABEL
"Tillæg C, ej ferieberettiget",1174,1174,FAST
"Tillæg C, ej ferieberettiget",1175,1175,VARIABEL
"Tillæg D, ej ferieberettiget",1176,1176,VARIABEL
"Tillæg A, ej ferieberettiget",1180,1180,FAST
"Tillæg A, ej ferieberettiget",1181,1181,VARIABEL
"Tillæg E, ej ferieberettiget",1182,1182,FAST
"Tillæg1(%), ej ferieberettiget",1185,1185,STILLINGSKATEGORI
"Tillæg2(%), ej ferieberettiget",1186,1186,STILLINGSKATEGORI
"Tillæg3(%), ej ferieberettiget",1187,1187,STILLINGSKATEGORI
Udbetal bidrag pension,1190,1190,FAST
Udbetal bidrag pension,1191,1191,FAST
Udbetal bidrag pension,1192,1192,FAST
Udbetal bidrag pension,1193,1193,FAST
Overenskomst pr. 1/3 - Beløb (OBS! trækker beløbet i fritvalg),1200,1200,VARIABEL
Overenskomst pr. 1/3 - T*S (OBS! trækker beløbet i fritvalg),1201,1201,VARIABEL
Overenskomst pr. 1/3 - T*(S) (OBS! trækker beløbet i fritvalg),1202,1202,VARIABEL
Overenskomst modregn.Beløb (OBS! trækker beløbet i fritvalg),1204,1204,VARIABEL
Kørepenge / Timeløn 75%,1205,1205,VARIABEL
Timeløn / anciennitet,1210,1210,VARIABEL
Tillæg beløb / anciennitet,1211,1211,VARIABEL
Tillæg beløb / anciennitet,1214,1214,FAST
Timeløn / anciennitet,1215,1215,FAST
Fast Skifteholdstillæg pct.,1240,1240,FAST
Skifteholdstillæg reg.,1241,1241,VARIABEL
Timeløn Tillæg / Input,1250,1250,VARIABEL
Timeløn Tillæg / Input,1251,1251,FAST
Timeløn Tillæg / Input,1252,1252,FAST
Personligt timetillæg 1,1270,1270,STILLINGSKATEGORI
Personligt timetillæg 2,1271,1271,STILLINGSKATEGORI
Personligt timetillæg 3,1272,1272,STILLINGSKATEGORI
Personligt timetillæg 4,1273,1273,STILLINGSKATEGORI
Personligt timetillæg 5 anc.,1274,1274,STILLINGSKATEGORI
Personligt timetillæg 6,1275,1275,FAST
Personligt timetillæg 6a,41275,1275,FAST
Personligt timetillæg 1275,41282,1275,FAST
Personligt timetillæg 7,1276,1276,FAST
Personligt timetillæg 6b,41276,1276,FAST
Personligt timetillæg 1276,41283,1276,FAST
Personligt timetillæg 8,1277,1277,FAST
Personligt timetillæg 6c,41277,1277,FAST
Personligt timetillæg 1277,41284,1277,FAST
Personligt timetillæg 9,1278,1278,FAST
Personligt timetillæg 6d,41278,1278,FAST
Personligt timetillæg 1278,41285,1278,FAST
Personligt timetillæg 10,1279,1279,FAST
Personligt timetillæg 6e,41279,1279,FAST
Personligt timetillæg 1279,41286,1279,FAST
Personligt timetillæg 11,1280,1280,FAST
Personligt timetillæg 6f,41280,1280,FAST
Personligt timetillæg 1280,41287,1280,FAST
Personligt timetillæg 12,1281,1281,FAST
Personligt timetillæg 6g,41281,1281,FAST
Personligt timetillæg 1281,41288,1281,FAST
Personligt timetillæg 1283,41289,1283,FAST
Personligt timetillæg 1284,41290,1284,FAST
Genebetaling % timeløn 1285,1285,1285,VARIABEL
Personligt timetillæg 1285,41291,1285,FAST
Genebetaling % timeløn 1286,1286,1286,VARIABEL
Personligt timetillæg 1286,41292,1286,FAST
Genebetaling % timeløn 1287,1287,1287,VARIABEL
Personligt timetillæg 1287,41293,1287,FAST
Genebetaling % timeløn 1288,1288,1288,VARIABEL
Personligt timetillæg 1288,41294,1288,FAST
Genebetaling % timeløn 1289,1289,1289,VARIABEL
Personligt timetillæg 1289,41295,1289,FAST
Genebetaling % timeløn 1290,1290,1290,VARIABEL
Personligt timetillæg 1290,41296,1290,FAST
Genebetaling % timeløn 1291,1291,1291,VARIABEL
Personligt timetillæg 1291,41297,1291,FAST
Genebetaling % timeløn 1292,1292,1292,VARIABEL
Personligt timetillæg 1292,41298,1292,FAST
Genebetaling % timeløn 1293,1293,1293,VARIABEL
Genebetaling % timeløn 1294,1294,1294,VARIABEL
Genebetaling % timeløn 1295,1295,1295,VARIABEL
Genebetaling % timeløn 1296,1296,1296,VARIABEL
Genebetaling % timeløn 1297,1297,1297,VARIABEL
Genebetaling % timeløn 1298,1298,1298,VARIABEL
Genebetaling % timeløn 1299,1299,1299,VARIABEL
Overarbejde almindelig timeløn,1300,1300,VARIABEL
Overarbejde 1,44550,1300,VARIABEL
Overarbejde 50 %,1301,1301,VARIABEL
Overarbejde 2,44551,1301,VARIABEL
Overarbejde 100 %,1302,1302,VARIABEL
Overarbejde 3,44552,1302,VARIABEL
Overarbejde timer * sats,1303,1303,VARIABEL
Overarbejde 4,44553,1303,VARIABEL
Overarbejde regulering,1304,1304,VARIABEL
Overarbejde 5,44554,1304,VARIABEL
Overtidstillæg regulering,1305,1305,VARIABEL
Overarbejde 6,44555,1305,VARIABEL
Overarbejde 50 % Funktionær,1306,1306,VARIABEL
Overarbejde 7,44556,1306,VARIABEL
Overarbejde 100 % funktionær,1307,1307,VARIABEL
Overarbejde 8,44557,1307,VARIABEL
Overarbejde 9,44558,1308,VARIABEL
Overtidstillæg sats 1,1308,1308,VARIABEL
Overtidstillæg sats 2,1309,1309,VARIABEL
Overtidstillæg sats A,11386,1386,VARIABEL
Overtidstillæg sats B,11387,1387,VARIABEL
Overarbejde varsling,1310,1310,VARIABEL
Overtidstillæg 1. og 2. time,1311,1311,VARIABEL
Overtidstillæg 3. og 4. time,1312,1312,VARIABEL
Overtidstillæg 5. time,1313,1313,VARIABEL
Overtidstillæg kl. 06-18,1314,1314,VARIABEL
Overtidstillæg kl. 18-06,1315,1315,VARIABEL
Overtidstillæg kl. 06-18 frid.,1316,1316,VARIABEL
Overtidstillæg kl. 18-06 frid.,1317,1317,VARIABEL
Overtidstillæg kl. 06-12 søn.,1318,1318,VARIABEL
Overtidstillæg kl. 12-06 søn.,1319,1319,VARIABEL
Overarbejde almindelig timeløn,1320,1320,VARIABEL
Overarbejde almindelig timeløn,41320,1320,VARIABEL
Overarbejde almindelig timeløn,41321,1320,VARIABEL
Overarbejde almindelig timeløn,41322,1320,VARIABEL
Overarbejde almindelig timeløn,41323,1320,VARIABEL
Overarbejde almindelig timeløn,41324,1320,VARIABEL
Overarbejde 150 %,1321,1321,VARIABEL
Overarbejde 200 %,1322,1322,VARIABEL
Overarbejde 150 %,1324,1324,VARIABEL
Overarbejde 200 %,1325,1325,VARIABEL
Overarbejde almindelig timeløn,41325,1325,VARIABEL
Overarbejde min.sats,1326,1326,VARIABEL
Overarbejde almindelig timeløn,41326,1326,VARIABEL
Overarbejde 50 %,41327,1327,VARIABEL
Forskudt tid 50 %,1328,1328,VARIABEL
Overarbejde 150 %,41328,1328,VARIABEL
Forskudt tidstillæg 1,44530,1328,VARIABEL
Forskudt tid 100 %,1329,1329,VARIABEL
Overarbejde 200 %,41329,1329,VARIABEL
Forskudt tidstillæg 2,44531,1329,VARIABEL
Forskudt tid kl. 17-22,1330,1330,VARIABEL
Overarbejde almindelig timeløn,41330,1330,VARIABEL
Forskudt tidstillæg 3,44532,1330,VARIABEL
Forskudt tid kl. 22-06,1331,1331,VARIABEL
Overarbejde almindelig timeløn,41331,1331,VARIABEL
Forskudt tidstillæg 4,44533,1331,VARIABEL
Forskudt tid kl. 24-,1332,1332,VARIABEL
Overarbejde almindelig timeløn,41332,1332,VARIABEL
Forskudt tid regulering,1333,1333,VARIABEL
Forskudt tidstillæg 6,44535,1333,VARIABEL
Skiftehold kl. 17-22,1334,1334,VARIABEL
Forskudt tidstillæg 5,44534,1334,VARIABEL
Forskudt tidstillæg 7,44536,1334,VARIABEL
Skiftehold kl. 22-06,1335,1335,VARIABEL
Skifteholdstillæg 1,44540,1335,VARIABEL
Skiftehold lørdag/søndag,1336,1336,VARIABEL
Skifteholdstillæg 2,44541,1336,VARIABEL
Skiftehold regulering,1337,1337,VARIABEL
Skifteholdstillæg 3,44542,1337,VARIABEL
Overarbejde varsling,1338,1338,VARIABEL
Skifteholdstillæg 4,44543,1338,VARIABEL
Overtidstillæg,1339,1339,VARIABEL
Skifteholdstillæg 5,44544,1339,VARIABEL
Tillæg 1 beløb,1340,1340,FAST
Skifteholdstillæg 6,44545,1340,VARIABEL
Tillæg 1 beløb,1341,1341,VARIABEL
Korrektion genebetaling,12341,1341,VARIABELEFTREG
Tillæg 2 beløb,1342,1342,FAST
Tillæg 2 beløb,1343,1343,VARIABEL
Tillæg 3 beløb,1344,1344,FAST
Tillæg 3 beløb,1345,1345,VARIABEL
Tillæg 4 beløb,1346,1346,FAST
Tillæg 4 beløb,1347,1347,VARIABEL
Tillæg 5 beløb,1348,1348,FAST
Tillæg 5 beløb,1349,1349,VARIABEL
Genebetaling % MD,1350,1350,VARIABEL
Genebetaling % MD,21360,1350,VARIABEL
Genebetaling % MD,21361,1350,VARIABEL
Genebetaling % MD,21362,1352,VARIABEL
Genebetaling % MD,21363,1352,VARIABEL
Genebetaling % MD,21364,1354,VARIABEL
Genebetaling % MD,51350,1350,FAST
Genebetaling % MD,1351,1351,VARIABEL
Genebetaling % MD,21365,1350,VARIABEL
Genebetaling % MD,21366,1350,VARIABEL
Genebetaling % MD,21367,1350,VARIABEL
Genebetaling % MD,21368,1350,VARIABEL
Genebetaling % MD,21369,1350,VARIABEL
Genebetaling % MD,51351,1351,FAST
Genebetaling % MD,1352,1352,VARIABEL
Genebetaling % MD,21350,1350,VARIABEL
Genebetaling % MD,21351,1351,VARIABEL
Genebetaling % MD,21352,1352,VARIABEL
Genebetaling % MD,1353,1353,FAST
Genebetaling % MD,21355,1355,FAST
Genebetaling % MD,21356,1356,FAST
Genebetaling % MD,21357,1357,FAST
Genebetaling % MD,1354,1354,FAST
Overtidstillæg pct. 3,1355,1355,VARIABEL
Overtidstillæg pct. A,11370,1355,VARIABEL
Overtidstillæg pct. B,11371,1355,VARIABEL
Overtidstillæg pct. C,11372,1355,VARIABEL
Overtidstillæg pct. D,11373,1355,VARIABEL
Overtidstillæg pct. E,11374,1355,VARIABEL
Overtidstillæg pct. F,11375,1355,VARIABEL
Overtidstillæg pct. G,11376,1355,VARIABEL
Overtidstillæg pct. H,11377,1355,VARIABEL
Overtidstillæg pct. I,11378,1355,VARIABEL
Overtidstillæg pct. J,11379,1355,VARIABEL
Overtidstillæg pct. K,11380,1355,VARIABEL
Overtidstillæg pct. L,11381,1355,VARIABEL
Overtidstillæg pct. M,11382,1355,VARIABEL
Overtidstillæg pct. N,11383,1355,VARIABEL
Overtidstillæg pct. O,11384,1355,VARIABEL
Overtidstillæg pct. P,11385,1355,VARIABEL
Overtidstillæg pct. 4,1356,1356,VARIABEL
Overtidstillæg pct. 5,1357,1357,VARIABEL
Overtidstillæg pct. 6,1358,1358,VARIABEL
Overtidstillæg pct. 7,1359,1359,VARIABEL
Tillæg 1 timer * sats,1360,1360,VARIABEL
Overarbejde pct. A,43360,1360,VARIABEL
Tillæg 2 timer * sats,1361,1361,VARIABEL
Overarbejde pct. B,43361,1361,VARIABEL
Tillæg 3 timer * sats,1362,1362,VARIABEL
Overarbejde pct. C,43362,1362,VARIABEL
Tillæg 4 timer * sats,1363,1363,VARIABEL
Overarbejde pct. D,43363,1363,VARIABEL
Tillæg 5 timer * sats,1364,1364,VARIABEL
Overarbejde pct. E,43364,1364,VARIABEL
Overtidstillæg 1,1365,1365,VARIABEL
Overarbejde pct. F,43365,1365,VARIABEL
Overtidstillæg 2,1366,1366,VARIABEL
Overarbejde pct. G,43366,1366,VARIABEL
Overtidstillæg 3,1367,1367,VARIABEL
Overarbejde pct. H,43367,1367,VARIABEL
Overtidstillæg 4,1368,1368,VARIABEL
Overarbejde pct. I,43368,1368,VARIABEL
Overtidstillæg,1369,1369,VARIABEL
Overarbejde pct. J,43369,1369,VARIABEL
Tillæg 1.0 med sats i tabel,1370,1370,VARIABEL
Tillæg 1 med sats i tabel,1371,1371,VARIABEL
Tillæg 2.0 med sats i tabel,1372,1372,VARIABEL
Tillæg 2 med sats i tabel,1373,1373,VARIABEL
Tillæg 3.0 med sats i tabel,1374,1374,VARIABEL
Tillæg 3 med sats i tabel,1375,1375,VARIABEL
Tillæg 4.0 med sats i tabel,1376,1376,VARIABEL
Tillæg 4 med sats i tabel,1377,1377,VARIABEL
Tillæg 6 med sats i tabel,41376,1376,VARIABEL
Tillæg 7 med sats i tabel,41377,1377,VARIABEL
Tillæg 5.0 med sats i tabel,1378,1378,VARIABEL
Tillæg 5 med sats i tabel,1379,1379,VARIABEL
Overtidstillæg pct. 1,1380,1380,VARIABEL
Overtidstillæg pct. 2,1381,1381,VARIABEL
Overtidstillæg pct. 1 timeløn,1383,1383,VARIABEL
Overtidstillæg pct. 1 timeløn,1384,1384,VARIABEL
Overtidstillæg pct. 1 timeløn,1385,1385,VARIABEL
Overtidstillæg pct. 2 timeløn,1386,1386,VARIABEL
Overtidstillæg pct. 1 U/ferie,1389,1389,VARIABEL
Overtidstillæg pct. 1a timeløn,1390,1390,VARIABEL
Overtidstillæg pct. 2a timeløn,1391,1391,VARIABEL
Overtidstillæg pct. 3a timeløn,1392,1392,VARIABEL
Overtidstillæg pct. 4a timeløn,1393,1393,VARIABEL
Overtidstillæg pct. 5a timeløn,1394,1394,VARIABEL
Overtidstillæg pct. timeløn+,1395,1395,VARIABEL
Overtidstillæg pct. timeløn+,1396,1396,VARIABEL
Overtidstillæg pct. timeløn+,1397,1397,VARIABEL
Overtidstillæg pct. timeløn -F,1399,1399,VARIABEL
Hensat afspadsering 1:1,1400,1400,VARIABEL
"Hensat afspadsering 1 (1,5)",1401,1401,VARIABEL
"Hensat afspadsering 2 (2,0)",1402,1402,VARIABEL
Hensat afspadsering,1403,1403,STILLINGSKATEGORI
Hensat afspadsering/træk,1404,1404,STILLINGSKATEGORI
Hensat afspadsering,11404,1404,VARIABEL
Hensat afspadsering/træk,41404,1404,VARIABEL
Hensat afspadsering/træk,41405,1404,VARIABEL
Afspadsering afholdt,1405,1405,VARIABEL
Afspadsering afholdt,1406,1406,FRAVÆR
Afspadsering udbetalt,1407,1407,FRAVÆR
"Hensat afspadsering 1 (1,75)",1408,1408,VARIABEL
Afspadsering udbetalt,1409,1409,FRAVÆR
Afspadsering udbetalt,1410,1410,VARIABEL
Afspadsering udbetalt,1411,1411,VARIABEL
Afsp. udbt. (pct mdl),1412,1412,VARIABEL
Afspadsering udb. saldo,1415,1415,VARIABEL
Afspadsering auto udb. fratr.,1418,1418,STILLINGSKATEGORI
Afspadsering auto udb. fratr.,1419,1419,STILLINGSKATEGORI
Afspadsering udb. saldo fratr.,1420,1420,VARIABEL
Afspadsering/stop,1425,1425,FAST
Hensat afspadsering,1426,1426,STILLINGSKATEGORI
Afspadsering afholdt,1427,1427,VARIABEL
Afspadsering afholdt,1428,1427,VARIABEL
Afspadsering afholdt,41427,1427,VARIABEL
Afspadsering udbetalt,1428,1428,VARIABEL
Afspadsering udbetalt,11428,1428,VARIABEL
Afspadsering auto. udbetal,1429,1429,STILLINGSKATEGORI
Salg af tid,1430,1430,VARIABEL
Tilkald,1443,1443,VARIABEL
Tilkald,1444,1444,VARIABEL
Tillæg,1445,1445,VARIABEL
Tillæg,1446,1446,VARIABEL
Tillæg,1447,1447,VARIABEL
Tillæg,1448,1448,VARIABEL
Tillæg,1449,1449,VARIABEL
Tillæg,1450,1450,VARIABEL
Tillæg,1451,1451,VARIABEL
Tillæg,1452,1452,VARIABEL
Tillæg,1453,1453,VARIABEL
Tillæg,1454,1454,VARIABEL
Tillæg,1455,1455,VARIABEL
Tillæg,1456,1456,VARIABEL
Tillæg,1457,1457,VARIABEL
Tillæg,1458,1458,VARIABEL
Tillæg,1459,1459,VARIABEL
Tillæg,1460,1460,VARIABEL
Tillæg,1461,1461,VARIABEL
Tillæg,1462,1462,VARIABEL
Tillæg,1463,1463,VARIABEL
Tillæg,1464,1464,VARIABEL
Tillæg,1465,1465,VARIABEL
Ydelse 1,1470,1470,VARIABEL
Ydelse 2,1471,1471,VARIABEL
Ydelse 3,1472,1472,VARIABEL
"Ydelse 4, ej ferieberet.",1475,1475,VARIABEL
Ydelse 1,1480,1480,FAST
Ydelse 2,1481,1481,FAST
Ydelse 3,1482,1482,FAST
"Ydelse 4, ej ferieberet.",1485,1485,FAST
"Tillæg ej ferieberettigede (lønart 10007AG Normtid) * timer, udbetaler på lønart 1491 12,5 (res1491) i ferieberettigede løn",1490,1490,VARIABEL
Provision,1500,1500,FAST
Provision,1501,1501,VARIABEL
Bonus,1502,1502,FAST
Bonus,44588,1502,VARIABEL
Bonus,1503,1503,VARIABEL
Korrektion Bonus,12503,1503,VARIABELEFTREG
Korrektion Bonus ej fp.,12513,1503,VARIABELEFTREG
Overskudsdeling,1504,1504,VARIABEL
Bonus,1505,1505,VARIABEL
Bonus,1506,1506,VARIABEL
Bonus,1507,1507,VARIABEL
Bonus,1508,1508,VARIABEL
Bonus,1509,1509,VARIABEL
"Tillæg 1 tabel, genebetaling",1510,1510,FAST
Intern nattevagt,44511,1510,VARIABEL
"Tillæg 2 tabel, genebetaling",1511,1511,FAST
Intern Weekendvagt,44512,1511,VARIABEL
"Tillæg 3 tabel, genebetaling",1512,1512,FAST
"Tillæg 4 tabel, genebetaling",1513,1513,FAST
"Tillæg 5 tabel, genebetaling",1514,1514,FAST
"Tillæg 6 tabel, genebetaling",1515,1515,FAST
