Lønartnr,Udskrivnings sekvens,Navn,Type,Input,Sats,Pensionsgrundlag,Frivilligt medarbejder indb.,Ferieberretiget,Fp-reduktion,Afv. Udskriftslønart,Efterregulering,E-indkomst timer,ATP-Timer,Før/efter skat,Tillæg/fradrag,E-indkomst,Indtægtstype,IL-typer,Decentral,Kommentar
780,780,Overfør medarbejder obligation,VARIABEL,"Evt. Beløb,","Lønart anvendt som: 
Fællesreg. Uden beløb: overfører saldo fra tidligere år. 
Variabel lønoplysning: Korrektionslønart +/-",,,,,,,,,,Saldi,,,,"11-Evt. Beløb, ",
800,800,"Månedsløn, normtid april",VARIABEL,"April løn,",,,,,,,,,,,,,,,"11-April løn, ",
865,865,Overfør ikke afholdt ferie,VARIABEL,"Antal dage,Antal timer,",,,,,,,,,,,Saldi,,,,0,
895,895,Timer fra fravær/feriefri,VARIABEL,"Timer til tillæg,",,,,,,,Ja,Ja,,,Saldi,200,,,"9-Timer til tillæg, ",
905,905,Stop feriepengeberegning,FAST,,,,,,,,Ja,,,,Ferie,,,,,
1000,1000,Månedsløn,STILLINGSKATEGORI,,Per9900,"1,2,3,4,5,6",,Ja,Ja,,Ja,,,Før,Tillæg,13,,13.332,,
1001,1001,Månedsløn regulering,VARIABEL,"Beløb,",,"1,2,3,4,5,6",,Ja,,,,,,Før,Tillæg,13,,13.332,"11-Beløb, ",
12001,1001,Korrektion Løn,VARIABELEFTREG,"Beløb,",,,,Ja,,1001,Ja,,,Før,Tillæg,13,,13.332,"11-Beløb, ",
12101,1001,Korrektion Løn ej fp. beret.,VARIABELEFTREG,"Beløb,",,,,,,1001,Ja,,,Før,Tillæg,13,,332,"11-Beløb, ",
1005,1005,"Reduktion, ikke ansat",STILLINGSKATEGORI,,,,,Ja,,,Ja,,,Før,,13,,13,,
1006,1006,Månedsløn træk,FAST,,,,,Ja,,,Ja,,,Før,,13,,13,,
1007,1007,Månedsløn træk,FAST,,,,,Ja,,,Ja,,,Før,,13,,13,,
11007,1007,Månedsløn træk,FAST,,,,,Ja,,1007,Ja,,,Før,,13,,13,,
1010,1010,Personligt tillæg,FAST,"Reducer ej,",Per9901,"2,3,6",,Ja,MDLØN=1,,Ja,,,Før,Tillæg,13,,13,"13-Reducer ej, ",
1011,1011,Personligt tillæg regulering,VARIABEL,"Beløb,",,"2,3,6",,Ja,,,,,,Før,Tillæg,13,,13.332,"11-Beløb, ",
1050,1050,Månedsløn personlig,FAST,,Per9900,"1,2,3,4,5,6",,Ja,,,Ja,,,Før,Tillæg,13,,13.332,,
1060,1060,Månedsløn beløb,FAST,"Månedsløn beløb,",,"1,2,3,4,5,6",,Ja,Ja,,Ja,,,Før,Tillæg,13,,13,"11-Månedsløn beløb, ",
1065,1065,Tillæg 1 tabel,FAST,"Antal,",Res1065 * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,,,Før,Tillæg,13,,"13,332,2020,","9-Antal, ",
1066,1066,Tillæg 2 tabel,FAST,"Antal,",Res1066  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,,,Før,Tillæg,13,,"13,332,2020,","9-Antal, ",
1067,1067,Tillæg 3 tabel,FAST,"Antal,",Res1067  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,,,Før,Tillæg,13,,"13,332,2020,","9-Antal, ",
1068,1068,Tillæg 4 tabel,FAST,"Antal,",Res1068  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,,,Før,Tillæg,13,,"13,332,2020,","9-Antal, ",
1069,1069,Tillæg 5 tabel,FAST,"Antal,",Res1069  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,,,Før,Tillæg,13,,"13,332,2020,","9-Antal, ",
1075,1075,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1076,1076,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1077,1077,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1078,1078,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1079,1079,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1080,1080,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1081,1081,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1082,1082,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1083,1083,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1084,1084,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1085,1085,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1086,1086,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1087,1087,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1088,1088,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1089,1089,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",
1090,1090,Timeløn,VARIABEL,"Antal timer,",Pers9960/Res1090,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1091,1091,Timeløn,VARIABEL,"Antal timer,",Pers9961/Res1091,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1092,1092,Timeløn,VARIABEL,"Antal timer,",Pers9962/Res1092,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1093,1093,Timeløn,VARIABEL,"Antal timer,",Pers9963/Res1093,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1094,1094,Timeløn,VARIABEL,"Antal timer,",Pers9964/Res1094,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1095,1095,Timeløn,VARIABEL,"Antal timer,",Pers9930/Res1095,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1096,1096,Timeløn,VARIABEL,"Antal timer,",Pers9931/Res1096,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1097,1097,Timeløn,VARIABEL,"Antal timer,",Pers9932/Res1097,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1098,1098,Timeløn,VARIABEL,"Antal timer,",Pers9933/Res1098,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1099,1099,Timeløn,VARIABEL,"Antal timer,",Pers9934/Res1099,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1100,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
41100,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
41101,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
41102,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
41103,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
41104,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
44500,1100,Timeløn,VARIABEL,"Timer,Sats,",Res 44500 (minimums sats),,,Ja,,1100,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
44501,1100,Timeløn SI,VARIABEL,"Timer,Sats,",Res 44501 (minimums sats),,,Ja,,1100,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
44503,1100,Timeløn Intern,VARIABEL,"Timer,Sats,",Res 44503 (minimums sats),,,Ja,,1100,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
44505,1100,Faglært Timeløn,VARIABEL,"Timer,Sats,",Res 44505 (minimums sats),,,Ja,,1100,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
44506,1100,Ufaglært Timeløn,VARIABEL,"Timer,Sats,",Res 44506 (minimums sats),,,Ja,,1100,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
44510,1100,Timeløn Intern vikar,VARIABEL,"Timer,Sats,",Res 44510 (minimums sats),,,Ja,,1100,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
1101,1101,Timeløn,FAST,"Antal timer,",Per9905 + Per9906,"2,3,4,6",,Ja,Ja + MDLØN=2,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1102,1102,Personligt tillæg,VARIABEL,"Antal timer,",Per9906,"2,3,6",,Ja,,,Ja,,,Før,Tillæg,13,,13.202,"9-Antal timer, ",
44523,1102,Personligt tillæg,VARIABEL,"Timer,Sats,",Res 44523 (minimums sats),,,Ja,,1102,,,,Før,,13,,"13,332,2020,","9-Timer,10-Sats,",
1103,1103,Personligt tillæg,FAST,"Antal timer,",Per9906,"2,3,6",,Ja,Ja,,Ja,,,Før,Tillæg,13,,"13,332,2020,","9-Antal timer, ",
1105,1105,Timeløn / anciennitet,VARIABEL,"Antal timer,","Opslagstabel OPS1105, Res ANC01-10,1213/OPSANC03 og Res ANC01-10/Pers9905","2,3,4,6",,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1106,1106,Timeløn / Input,VARIABEL,"Antal timer,","Opslagstabel OPSINP02 Res INP01-10, Pers. tillæg 9906","2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1107,1107,Timeløn / Input,VARIABEL,"Antal timer,","Opslagstabel OPSINP02, Res INP01-10","2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1108,1108,Timeløn m. red. for arb. dage,FAST,"Antal timer,Reducer ej,",Per9905 + Per9906,,,Ja,Ja,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer,13-Reducer ej,",
1110,1110,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,"2,3,4,6",,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer,10-Sats,",
12010,1110,Korrektion timer x sats,VARIABELEFTREG,"Antal timer,Sats,",,"2,3,6",,Ja,,1110,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"13,210,332,2020,2020","9-Antal timer,10-Sats,",
12110,1110,Korrektion timer x sats ej fp.,VARIABELEFTREG,"Antal timer,Sats,",,,,,,1110,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"210,332,2020,2020","9-Antal timer,10-Sats,",
44582,1110,A/C udbetaling,VARIABEL,"Timer,Sats,",Res 44582 (minimums sats),,,Ja,,1110,,,,Før,,13,,13.202,"9-Timer,10-Sats,",
1111,1111,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer,10-Sats,",
1114,1114,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1115,1115,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1116,1116,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1117,1117,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1118,1118,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1119,1119,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",
1121,1121,Timeløn regulering t * s,VARIABEL,"Antal timer,Sats,",,"2,3,6",,Ja,,,,Ja,Ja,Før,Tillæg,"200,13, ",,"13,332,2020,","9-Antal timer,10-Sats,",
44509,1121,Regulering,VARIABEL,"Timer,Sats,",Res 44509 (minimums sats),,,Ja,,1121,,Ja,Ja,Før,,"200,13, ",,"10,13,210,2020,2020","9-Timer,10-Sats,",
44581,1121,Regulering timeløn,VARIABEL,"Timer,Sats,",Res 44581 (minimums sats),,,Ja,,1121,,,,Før,,13,,13.202,"9-Timer,10-Sats,",
