Lønartnr,Udskrivnings sekvens,Navn,Type,Input,Sats,Pensionsgrundlag,Frivilligt medarbejder indb.,Ferieberretiget,Fp-reduktion,Afv. Udskriftslønart,Efterregulering,E-indkomst timer,ATP-Timer,Før/efter skat,Tillæg/fradrag,E-indkomst,Indtægtstype,IL-typer,Decentral,Kommentar,Alternative_Navne
428,428,Tilbagefør 4080 fratrædelse Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,År (-3 eller før), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,18-År (-3 eller før), ",,
440,440,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,5,,Nej,,,Ja,Nej,Nej,,Saldi,,,24,"9-Tilbagefør dage,11-Tilbagefør penge,",,
445,445,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,"5,6",,Nej,,,Nej,Nej,Nej,Før,,13,,24,"9-Tilbagefør dage,11-Tilbagefør penge,",,
450,450,SH-beløb ret/overfør,VARIABEL,"SH opsparing: Beløb,SH forskud: Beløb,SH saldo: Beløb,SH afregnet: Beløb,SH-Saldo overføres ja=1/nej=0, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,24,0,,"SH-beløb ret/overfør, SH-beløb ret/overfør, SH-saldo overført"
470,470,Tilbagefør 4090,VARIABEL,"Tilbagefør dage,Tilbagefør beløb,Optjent år, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør beløb,18-Optjent år, ",,
475,475,Tilbagefør 4005,VARIABEL,"Tilbagefør dage,Tilbagefør beløb,Optjent år, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør beløb,18-Optjent år, ",,
476,476,Tilbagefør 4006,VARIABEL,"Tilbagefør dage,Tilbagefør beløb,Optjent år, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør beløb,18-Optjent år, ",,
485,485,Tilbagefør 4085,VARIABEL,"Tilbagefør timer,Tilbagefør penge,År (-3 eller før), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør timer,11-Tilbagefør penge,18-År (-3 eller før), ",,
495,495,Tilbagefør 4095,VARIABEL,"Tilbagefør timer,Tilbagefør beløb,Optjent år, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør timer,11-Tilbagefør beløb,18-Optjent år, ",,
500,500,Udbetaling ferietillæg,VARIABEL,"Antal dage,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage, ",,
510,510,Saldokorr.  feriedage/kr. år X Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge (+/-),Årstal (2xxx), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage (+/-),11-Feriepenge (+/-),18-Årstal (2xxx), ",Bruges til bruttoferiepenge tidligere år,"Saldokorr.  feriedage/kr. år X, Saldokorr.  feriedage/kr. år X, Overført saldo"
511,511,Saldokorr.  feriedage/kr. år 0 Gl. Ferielov,VARIABEL,"Feriedage,Feriepenge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Feriedage,11-Feriepenge,",Bruges til bruttoferiepenge indeværende år,
512,512,Saldokorr. ferietimer/kr. år X Gl. Ferielov,VARIABEL,"Antal timer (+/-),Feriepenge (+/-),Årstal (2xxx), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal timer (+/-),11-Feriepenge (+/-),18-Årstal (2xxx), ",,
513,513,Saldokorr.  ferietimer/kr. år0 Gl. Ferielov,VARIABEL,"Ferietimer,Feriepenge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Ferietimer,11-Feriepenge,",,
514,514,Saldokorr. feriedg.optjen i.år Gl. Ferielov,VARIABEL,"Feriedage optjent,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Feriedage optjent, ",,
515,515,Saldokorr. feriedg./saldo i.år Gl. Ferielov,VARIABEL,"Feriedage saldo,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Feriedage saldo, ",,
516,516,Saldokorr.ferietimer optj.i.år Gl. Ferielov,VARIABEL,"Ferietimer optjent,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Ferietimer optjent, ",,
520,520,Ferie fra tidligere arb.giver Gl. Ferielov,VARIABEL,"Antal dage (+/-),Årstal (2xxx),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage (+/-),18-Årstal (2xxx),",,
521,521,Tildelt ferie med løn Gl. Ferielov,VARIABEL,"Antal dage (+/-),Årstal (2xxx),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage (+/-),18-Årstal (2xxx),",,
522,522,Tildelt ferie uden løn Gl. Ferielov,VARIABEL,"Antal dage (+/-),Årstal (2xxx),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage (+/-),18-Årstal (2xxx),",,
530,530,Antal arbejdsdage/feriedage Gl. Ferielov,VARIABEL,"Antal arb.dage i per.,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal arb.dage i per., ",,
590,590,Saldokorr.  feriebert.løn år Gl. Ferielov,VARIABEL,"Feriepenge grundlag,Årstal,",,,,Ja,,,Nej,Nej,Nej,,Saldi,,,13,"11-Feriepenge grundlag,18-Årstal,",,"Saldokorr.  feriebert.løn år, Saldokorr.  feriebert.løn år, Saldokorr. feriebe vedr ff udb"
600,600,Saldokorr.  feriedage/kr. år Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge (+/-), Årstal (2xxx),Dage indeværende år (+/-),Feriepenge indeværende år, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,0,,"Saldokorr.  feriedage/kr. år, Saldokorr.  feriedage/kr. år, Saldokorr.  feriedage"
601,601,Saldokorr. ferietillæg år Gl. Ferielov,VARIABEL,"Feriedage tillæg (+/-),Ferietillæg beløb (+/-),Årstal (2xxx), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Feriedage tillæg (+/-),11-Ferietillæg beløb (+/-),18-Årstal (2xxx), ",,"Saldokorr. ferietillæg år, Ferietillæg 2012, Ferietillæg 2013"
602,602,Saldokorr. eks. ferietillæg år Gl. Ferielov,VARIABEL,"Feriedage tillæg (+/-),Ferietillæg beløb (+/-),Årstal (2xxx), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Feriedage tillæg (+/-),11-Ferietillæg beløb (+/-),18-Årstal (2xxx), ",,"Saldokorr. eks. ferietillæg år, Ovf. Ekstra ferietillæg, Saldokorr. eks. ferietillæg år"
605,605,Saldokorr. ferietimer/kr. år Gl. Ferielov,VARIABEL,"Antal timer (+/-),Feriepenge (+/-),Årstal (2xxx),Timer indeværende år (+/-),Feriepenge indeværende år, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,0,,
606,606,Saldokorr. feriedg./timer i.år Gl. Ferielov,VARIABEL,"Feriedage optjent,Feriedage saldo,Ferietimer optjent, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Feriedage optjent,10-Feriedage saldo,11-Ferietimer optjent, ",,
610,610,Saldokorr. feriekort år Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge netto (+/-),Årstal (2xxx), ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage (+/-),11-Feriepenge netto (+/-),18-Årstal (2xxx), ",Bruges for tidligere år,"Saldokorr. feriekort år, Saldo fra Maxi, Saldokorr. feriekort år"
611,611,Saldokorr. feriekort i år Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge netto (+/-),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage (+/-),11-Feriepenge netto (+/-),",Bruges for indeværende år,
620,620,Kilometergodtgørelse km.,VARIABEL,"KM,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-KM, ",,"Kilometergodtgørelse km., Kilometergodtgørelse km., Antal km"
621,621,Jub/fratr. skattefri,VARIABEL,"Beløb,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Beløb, ",,
650,650,Arb.tid faktor tidl. år,VARIABEL,"Arb.tid.pct. tidl.år,Angiv tidligere år,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"12-Arb.tid.pct. tidl.år,18-Angiv tidligere år,",,
710,710,"Saldo Max 1, pension",VARIABEL,"Saldo Max 1, pension,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Saldo Max 1, pension, ",,
711,711,"Saldo Max 2, pension",VARIABEL,"Saldo Max 2, pension,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Saldo Max 2, pension, ",,
712,712,"Saldo Max 3, pension",VARIABEL,"Saldo Max 3, pension,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Saldo Max 3, pension, ",,
780,780,Overfør medarbejder obligation,VARIABEL,"Evt. Beløb,","Lønart anvendt som: 
Fællesreg. Uden beløb: overfører saldo fra tidligere år. 
Variabel lønoplysning: Korrektionslønart +/-",,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Evt. Beløb, ",,
800,800,"Månedsløn, normtid april",VARIABEL,"April løn,",,,,Nej,,,Nej,Nej,Nej,,,,,,"11-April løn, ",,
865,865,Overfør ikke afholdt ferie,VARIABEL,"Antal dage,Antal timer,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,0,,
895,895,Timer fra fravær/feriefri,VARIABEL,"Timer til tillæg,",,,,Nej,,,Ja,Ja,Nej,,Saldi,200,,,"9-Timer til tillæg, ",,"Timer fra fravær/feriefri, Timer sygdom stop tillæg, Tillæg"
905,905,Stop feriepengeberegning,FAST,,,,,Nej,,,Ja,Nej,Nej,,Ferie,,,,,,
1000,1000,Månedsløn,STILLINGSKATEGORI,,Per9900,"1,2,3,4,5,6",,Ja,Ja,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332",,,
1001,1001,Månedsløn regulering,VARIABEL,"Beløb,",,"1,2,3,4,5,6",,Ja,,,Nej,Nej,Nej,Før,Tillæg,13,,"13,332","11-Beløb, ",,"Månedsløn regulering, Månedsløn regulering, Salary adjustment"
12001,1001,Korrektion Løn,VARIABELEFTREG,"Beløb,",,,,Ja,,1001,Ja,Nej,Nej,Før,Tillæg,13,,"13,332","11-Beløb, ",,
12101,1001,Korrektion Løn ej fp. beret.,VARIABELEFTREG,"Beløb,",,,,Nej,,1001,Ja,Nej,Nej,Før,Tillæg,13,,332,"11-Beløb, ",,
1005,1005,"Reduktion, ikke ansat",STILLINGSKATEGORI,,,,,Ja,,,Ja,Nej,Nej,Før,,13,,13,,,
1006,1006,Månedsløn træk,FAST,,,,,Ja,,,Ja,Nej,Nej,Før,,13,,13,,,
1007,1007,Månedsløn træk,FAST,,,,,Ja,,,Ja,Nej,Nej,Før,,13,,13,,,
11007,1007,Månedsløn træk,FAST,,,,,Ja,,1007,Ja,Nej,Nej,Før,,13,,13,,,
1010,1010,Personligt tillæg,FAST,"Reducer ej,",Per9901,"2,3,6",,Ja,MDLØN=1,,Ja,Nej,Nej,Før,Tillæg,13,,13,"13-Reducer ej, ",,
1011,1011,Personligt tillæg regulering,VARIABEL,"Beløb,",,"2,3,6",,Ja,,,Nej,Nej,Nej,Før,Tillæg,13,,"13,332","11-Beløb, ",,"Personligt tillæg regulering, Personligt tillæg, Personligt tillæg regulering"
1050,1050,Månedsløn personlig,FAST,,Per9900,"1,2,3,4,5,6",,Ja,,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332",,,
1060,1060,Månedsløn beløb,FAST,"Månedsløn beløb,",,"1,2,3,4,5,6",,Ja,Ja,,Ja,Nej,Nej,Før,Tillæg,13,,13,"11-Månedsløn beløb, ",,
1065,1065,Tillæg 1 tabel,FAST,"Antal,",Res1065 * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332,2020","9-Antal, ",,
1066,1066,Tillæg 2 tabel,FAST,"Antal,",Res1066  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332,2020","9-Antal, ",,
1067,1067,Tillæg 3 tabel,FAST,"Antal,",Res1067  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332,2020","9-Antal, ",,
1068,1068,Tillæg 4 tabel,FAST,"Antal,",Res1068  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332,2020","9-Antal, ",,
1069,1069,Tillæg 5 tabel,FAST,"Antal,",Res1069  * normtid og arb.dage,"1,2,3,6",,Ja,Ja + MDLØN=2,,Ja,Nej,Nej,Før,Tillæg,13,,"13,332,2020","9-Antal, ",,
1075,1075,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Timeløn timer * sats, Timeløn, Timeløn timer * sats"
1076,1076,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Timeløn timer * sats, Skole - lærling, Nattillæg"
1077,1077,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Overarbejde lav sats, Nattillæg, Socialkorpset"
1078,1078,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,
1079,1079,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,
1080,1080,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Timeløn timer * sats, Bekræftelse 59386-116, Bekræftelse 74701-106"
1081,1081,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Timeløn timer * sats, SH Udbetaling, Timeløn timer * sats"
1082,1082,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,
1083,1083,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,
1084,1084,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,
1085,1085,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,
1086,1086,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Rådighedstimer, Ekstra tid, Bronze, Ekstra tid, Bronze"
1087,1087,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Afløser PI-Chauffør, Flekstimer, Afløser PI-Chauffør"
1088,1088,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Timer Lager, Timer Lager april, Fugttekniker"
1089,1089,Timeløn timer * sats,VARIABEL,"Antal timer,Sats,",,,,Ja,,,Nej,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,2020,2020","9-Antal timer,10-Sats,",,"Timeløn timer * sats, Timeløn BaseBuddy Juli, Pumpearbejde"
1090,1090,Timeløn,VARIABEL,"Antal timer,",Pers9960/Res1090,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn, Kursustid"
1091,1091,Timeløn,VARIABEL,"Antal timer,",Pers9961/Res1091,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, 2. Banquet høj sats, Time aften"
1092,1092,Timeløn,VARIABEL,"Antal timer,",Pers9962/Res1092,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Rejseledersats 2, Eksport lærlinge næstsidste år"
1093,1093,Timeløn,VARIABEL,"Antal timer,",Pers9963/Res1093,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn ekstra, Timeløn Sikkerhedsvagter"
1094,1094,Timeløn,VARIABEL,"Antal timer,",Pers9964/Res1094,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn, Timeløn eksamensvagt"
1095,1095,Timeløn,VARIABEL,"Antal timer,",Pers9930/Res1095,,,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn, kho15042411"
1096,1096,Timeløn,VARIABEL,"Antal timer,",Pers9931/Res1096,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn afvikler, Timeløn alm."
1097,1097,Timeløn,VARIABEL,"Antal timer,",Pers9932/Res1097,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn, Timer udlån Køk/kontor/Madhus"
1098,1098,Timeløn,VARIABEL,"Antal timer,",Pers9933/Res1098,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn DBP, Timeløn"
1099,1099,Timeløn,VARIABEL,"Antal timer,",Pers9934/Res1099,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn, Sygeløn"
1100,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn, Timeløn, Timer"
11100,1100,Timeløn,VARIABEL,"Antal timer, Beløb (ganges ikke med hindanden)",,"2,3,4,6",,Ja,,,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer,11-beløb",,
41100,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Timeløn støbe, Lønudbetaling - 1. maj, Flex udbetalt"
41101,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Løntræk ifm. sygdom, Timeløn, ifbm. afholdt ferie, Løntræk ifm. sygdom"
41102,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Løntræk ifm. sygdom / orlov, Timeløn ifbm. feriefri, Løntræk ifm. sygdom / orlov"
41103,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,"Løntræk ifm. ferieafholdelse, Løntræk ferie rettelse, Løntræk ifm. ferieafholdelse"
41104,1100,Timeløn,VARIABEL,"Antal timer,",Per9905 + Per9906/Res1100 + TILØN=2,,,Ja,,1100,Ja,Ja,Ja,Før,Tillæg,"200,13, ",,"10,13,210,332,2020","9-Antal timer, ",,
