Lønartnr,Udskrivnings sekvens,Navn,Type,Input,Sats,Pensionsgrundlag,Frivilligt medarbejder indb.,Ferieberretiget,Fp-reduktion,Afv. Udskriftslønart,Efterregulering,E-indkomst timer,ATP-Timer,Før/efter skat,Tillæg/fradrag,E-indkomst,Indtægtstype,IL-typer,Decentral,Kommentar,Alternative_Navne
315,315,Overfører omsorgtim år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Personalekøb
316,316,Overfører aftalefridg år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,"Kantine,  Massage,  Frokost"
317,317,Overfører aftalefritim år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Timeløn
318,318,Overfør ikke afholdt ferie dg,VARIABEL,Antal dage,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Antal dage,nan,Søndagstillæg
319,319,Overfør ikke afholdt ferie.tim,VARIABEL,Antal timer,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Antal timer,nan,"Anciennitetstillæg,  Bonus"
320,320,Overfør 941x saldi,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Expenses
321,321,Saldokorr.  9416 saldo i.år,VARIABEL,Beløb (9416),nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,11-Beløb (9416),nan,Nattillæg
322,322,Saldokorr.  9417 saldo i.år,VARIABEL,Beløb (9417),nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,11-Beløb (9417),nan,"Timeløn afvikler,  Timeløn alm."
323,323,Saldokorr.  9418 saldo i.år,VARIABEL,Beløb (9418),nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,11-Beløb (9418),nan,"Helligdagstillæg,  Shift reward,  high"
324,324,Saldokorr. afspads. timer/kr.,VARIABEL,"Afspadseringstimer, Afspadsering beløb",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Afspadseringstimer, 11-Afspadsering beløb",nan,Overtid 3
373,373,Overfører seniorordning år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Genetillæg
400,400,Overfører saldi fra år-1,VARIABEL,"Feriefridage ovf. ja/nej, Feriefritimer ovf. ja/nej, Feriefribeløb ovf. ja/nej, Afspadsering ovf. ja/nej",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,0,nan,Fritvalgskonto udb. saldo
401,401,Overfører saldi fra år-1,VARIABEL,"Omsorgsdage ovf. ja/nej, Omsorgstimer ovf. ja/nej, Aftalefridage ovf. ja/nej, Aftalefritimer ovf. ja/nej",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,0,nan,Timeløn
402,402,Overfører fritvalgskonto år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Bonus 2023
403,403,Overfører saldi fra år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Extra hours 1:1
410,410,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør penge",nan,Overtime 50%
412,412,Tilbagefør ferie forrige år Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør penge",nan,"Personalekøb,  Kantine"
413,413,Tilbagefør ferie sidste år Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør penge",nan,Fartbøde
415,415,Tilbagefør ferie forrige år Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør Penge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør Penge",nan,Skiftehold Weekend
416,416,Tilbagefør ferie sidste år Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør penge",nan,Anciennitetstillæg
428,428,Tilbagefør 4080 fratrædelse Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge, År (-3 eller før)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør penge, 18-År (-3 eller før)",nan,"Nattillæg,  Tilkald"
440,440,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge",nan,5,nan,Nej,nan,nan,Ja,Nej,Nej,nan,Saldi,nan,nan,24,"9-Tilbagefør dage, 11-Tilbagefør penge",nan,SH Udbetaling
445,445,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage, Tilbagefør penge",nan,"5, 6",nan,Nej,nan,nan,Nej,Nej,Nej,Før,nan,13,nan,24,"9-Tilbagefør dage, 11-Tilbagefør penge",nan,
450,450,SH-beløb ret/overfør,VARIABEL,"SH opsparing: Beløb, SH forskud: Beløb, SH saldo: Beløb, SH afregnet: Beløb, SH-Saldo overføres ja=1/nej=0",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,24,0,nan,Udbetalt afspadsering
470,470,Tilbagefør 4090,VARIABEL,"Tilbagefør dage, Tilbagefør beløb, Optjent år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør beløb, 18-Optjent år",nan,
475,475,Tilbagefør 4005,VARIABEL,"Tilbagefør dage, Tilbagefør beløb, Optjent år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør beløb, 18-Optjent år",nan,"Offshore Overtid tillæg,  Skur 1 tillæg"
476,476,Tilbagefør 4006,VARIABEL,"Tilbagefør dage, Tilbagefør beløb, Optjent år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør dage, 11-Tilbagefør beløb, 18-Optjent år",nan,Kursustid
485,485,Tilbagefør 4085,VARIABEL,"Tilbagefør timer, Tilbagefør penge, År (-3 eller før)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør timer, 11-Tilbagefør penge, 18-År (-3 eller før)",nan,"Vagttillæg,  Tillæg ved kørsel"
495,495,Tilbagefør 4095,VARIABEL,"Tilbagefør timer, Tilbagefør beløb, Optjent år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Tilbagefør timer, 11-Tilbagefør beløb, 18-Optjent år",nan,Shift Pay (30%)
500,500,Udbetaling ferietillæg,VARIABEL,Antal dage,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Antal dage,nan,"Udetillæg,  Nattillæg"
510,510,Saldokorr.  feriedage/kr. år X Gl. Ferielov,VARIABEL,"Antal dage (+/-), Feriepenge (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal dage (+/-), 11-Feriepenge (+/-), 18-Årstal (2xxx)",Bruges til bruttoferiepenge tidligere år,Feriefritimer tildeling
511,511,Saldokorr.  feriedage/kr. år 0 Gl. Ferielov,VARIABEL,"Feriedage, Feriepenge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Feriedage, 11-Feriepenge",Bruges til bruttoferiepenge indeværende år,Overtime 100%
512,512,Saldokorr. ferietimer/kr. år X Gl. Ferielov,VARIABEL,"Antal timer (+/-), Feriepenge (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal timer (+/-), 11-Feriepenge (+/-), 18-Årstal (2xxx)",nan,Kursus
513,513,Saldokorr.  ferietimer/kr. år0 Gl. Ferielov,VARIABEL,"Ferietimer, Feriepenge",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Ferietimer, 11-Feriepenge",nan,Kostbetaling
514,514,Saldokorr. feriedg.optjen i.år Gl. Ferielov,VARIABEL,Feriedage optjent,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Feriedage optjent,nan,Aftentillæg
515,515,Saldokorr. feriedg./saldo i.år Gl. Ferielov,VARIABEL,Feriedage saldo,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Feriedage saldo,nan,"Shift of team reward,  Holdskiftedusør"
516,516,Saldokorr.ferietimer optj.i.år Gl. Ferielov,VARIABEL,Ferietimer optjent,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Ferietimer optjent,nan,Afholdt afspadsering
520,520,Ferie fra tidligere arb.giver Gl. Ferielov,VARIABEL,"Antal dage (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal dage (+/-), 18-Årstal (2xxx)",nan,"Mødetillæg,  Holdtillæg"
521,521,Tildelt ferie med løn Gl. Ferielov,VARIABEL,"Antal dage (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal dage (+/-), 18-Årstal (2xxx)",nan,"Kantine,  variabelt beløb"
522,522,Tildelt ferie uden løn Gl. Ferielov,VARIABEL,"Antal dage (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal dage (+/-), 18-Årstal (2xxx)",nan,Overmontørtillæg
530,530,Antal arbejdsdage/feriedage Gl. Ferielov,VARIABEL,Antal arb.dage i per.,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-Antal arb.dage i per.,nan,"Mødetillæg chauffører,  Vagtændring"
590,590,Saldokorr.  feriebert.løn år Gl. Ferielov,VARIABEL,"Feriepenge grundlag, Årstal",nan,nan,nan,Ja,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,13,"11-Feriepenge grundlag, 18-Årstal",nan,"Mødetillæg,  Rådighedsvagt weekend"
600,600,Saldokorr.  feriedage/kr. år Gl. Ferielov,VARIABEL,"Antal dage (+/-), Feriepenge (+/-),  Årstal (2xxx), Dage indeværende år (+/-), Feriepenge indeværende år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,0,nan,Feriefridage tildeling
601,601,Saldokorr. ferietillæg år Gl. Ferielov,VARIABEL,"Feriedage tillæg (+/-), Ferietillæg beløb (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Feriedage tillæg (+/-), 11-Ferietillæg beløb (+/-), 18-Årstal (2xxx)",nan,Timer udlån Køk/kontor/Madhus
602,602,Saldokorr. eks. ferietillæg år Gl. Ferielov,VARIABEL,"Feriedage tillæg (+/-), Ferietillæg beløb (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Feriedage tillæg (+/-), 11-Ferietillæg beløb (+/-), 18-Årstal (2xxx)",nan,"Varekøb,  Privatkøb"
605,605,Saldokorr. ferietimer/kr. år Gl. Ferielov,VARIABEL,"Antal timer (+/-), Feriepenge (+/-), Årstal (2xxx), Timer indeværende år (+/-), Feriepenge indeværende år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,0,nan,Smudstillæg
606,606,Saldokorr. feriedg./timer i.år Gl. Ferielov,VARIABEL,"Feriedage optjent, Feriedage saldo, Ferietimer optjent",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Feriedage optjent, 10-Feriedage saldo, 11-Ferietimer optjent",nan,"Seniortimer,  Seniortimer saldo"
610,610,Saldokorr. feriekort år Gl. Ferielov,VARIABEL,"Antal dage (+/-), Feriepenge netto (+/-), Årstal (2xxx)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal dage (+/-), 11-Feriepenge netto (+/-), 18-Årstal (2xxx)",Bruges for tidligere år,Overtid 4
611,611,Saldokorr. feriekort i år Gl. Ferielov,VARIABEL,"Antal dage (+/-), Feriepenge netto (+/-)",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"9-Antal dage (+/-), 11-Feriepenge netto (+/-)",Bruges for indeværende år,"Kval.tillæg CR faste afløsere,  Offshore nattillæg"
620,620,Kilometergodtgørelse km.,VARIABEL,KM,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,9-KM,nan,Salary adjustment
621,621,Jub/fratr. skattefri,VARIABEL,Beløb,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,11-Beløb,nan,Timeløn DBP
650,650,Arb.tid faktor tidl. år,VARIABEL,"Arb.tid.pct. tidl.år, Angiv tidligere år",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"12-Arb.tid.pct. tidl.år, 18-Angiv tidligere år",nan,"On-site,  Sundays,  On-site,  søndage"
710,710,"Saldo Max 1,  pension",VARIABEL,"Saldo Max 1,  pension",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"11-Saldo Max 1,  pension",nan,Diæter uge 4
711,711,"Saldo Max 2,  pension",VARIABEL,"Saldo Max 2,  pension",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"11-Saldo Max 2,  pension",nan,Overtidstill.forud for norm.a
712,712,"Saldo Max 3,  pension",VARIABEL,"Saldo Max 3,  pension",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,"11-Saldo Max 3,  pension",nan,Weekend servicearbejde
780,780,Overfør medarbejder obligation,VARIABEL,Evt. Beløb,"Lønart anvendt som: 
Fællesreg. Uden beløb: overfører saldo fra tidligere år. 
Variabel lønoplysning: Korrektionslønart +/-",nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,11-Evt. Beløb,nan,Overtidstillæg søndag
800,800,"Månedsløn,  normtid april",VARIABEL,April løn,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,nan,nan,nan,nan,11-April løn,nan,Sygeløn
865,865,Overfør ikke afholdt ferie,VARIABEL,"Antal dage, Antal timer",nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,0,nan,Søndagstillæg
895,895,Timer fra fravær/feriefri,VARIABEL,Timer til tillæg,nan,nan,nan,Nej,nan,nan,Ja,Ja,Nej,nan,Saldi,200,nan,nan,9-Timer til tillæg,nan,"Sygdom uden løn,  Flex over max"
905,905,Stop feriepengeberegning,FAST,nan,nan,nan,nan,Nej,nan,nan,Ja,Nej,Nej,nan,Ferie,nan,nan,nan,nan,nan,"Overtidstillæg 0 - 3 time,  Personligt tillæg"
1000,1000,Månedsløn,STILLINGSKATEGORI,nan,Per9900,"1, 2, 3, 4, 5, 6",nan,Ja,Ja,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332",nan,nan,"Opstart på opgave,  Bonus tillæg"
1001,1001,Månedsløn regulering,VARIABEL,Beløb,nan,"1, 2, 3, 4, 5, 6",nan,Ja,nan,nan,Nej,Nej,Nej,Før,Tillæg,13,nan,"13, 332",11-Beløb,nan,Bonus
12001,1001,Korrektion Løn,VARIABELEFTREG,Beløb,nan,nan,nan,Ja,nan,1001,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332",11-Beløb,nan,Fritvalgskonto udb. beløb
12101,1001,Korrektion Løn ej fp. beret.,VARIABELEFTREG,Beløb,nan,nan,nan,Nej,nan,1001,Ja,Nej,Nej,Før,Tillæg,13,nan,332,11-Beløb,nan,"Montage Tillæg,  Telefonvagt"
1005,1005,"Reduktion,  ikke ansat",STILLINGSKATEGORI,nan,nan,nan,nan,Ja,nan,nan,Ja,Nej,Nej,Før,nan,13,nan,13,nan,nan,"Bonus,  Mødetillæg"
1006,1006,Månedsløn træk,FAST,nan,nan,nan,nan,Ja,nan,nan,Ja,Nej,Nej,Før,nan,13,nan,13,nan,nan,Bonus
1007,1007,Månedsløn træk,FAST,nan,nan,nan,nan,Ja,nan,nan,Ja,Nej,Nej,Før,nan,13,nan,13,nan,nan,Udlæg
11007,1007,Månedsløn træk,FAST,nan,nan,nan,nan,Ja,nan,1007,Ja,Nej,Nej,Før,nan,13,nan,13,nan,nan,"Vasketillæg,  Vagtillæg uge 13"
1010,1010,Personligt tillæg,FAST,Reducer ej,Per9901,"2, 3, 6",nan,Ja,MDLØN=1,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,13,13-Reducer ej,nan,
1011,1011,Personligt tillæg regulering,VARIABEL,Beløb,nan,"2, 3, 6",nan,Ja,nan,nan,Nej,Nej,Nej,Før,Tillæg,13,nan,"13, 332",11-Beløb,nan,
1050,1050,Månedsløn personlig,FAST,nan,Per9900,"1, 2, 3, 4, 5, 6",nan,Ja,nan,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332",nan,nan,"BONUS,  Provision"
1060,1060,Månedsløn beløb,FAST,Månedsløn beløb,nan,"1, 2, 3, 4, 5, 6",nan,Ja,Ja,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,13,11-Månedsløn beløb,nan,Overtid 1
1065,1065,Tillæg 1 tabel,FAST,Antal,Res1065 * normtid og arb.dage,"1, 2, 3, 6",nan,Ja,Ja + MDLØN=2,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332, 2020",9-Antal,nan,"Hensat afspadsering 1:1, 5"
1066,1066,Tillæg 2 tabel,FAST,Antal,Res1066  * normtid og arb.dage,"1, 2, 3, 6",nan,Ja,Ja + MDLØN=2,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332, 2020",9-Antal,nan,Overtid
1067,1067,Tillæg 3 tabel,FAST,Antal,Res1067  * normtid og arb.dage,"1, 2, 3, 6",nan,Ja,Ja + MDLØN=2,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332, 2020",9-Antal,nan,"Bonus,  Tillæg,  Kosttillæg (kr 1, - pr time)"
1068,1068,Tillæg 4 tabel,FAST,Antal,Res1068  * normtid og arb.dage,"1, 2, 3, 6",nan,Ja,Ja + MDLØN=2,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332, 2020",9-Antal,nan,Overarbejde søn/hellig 06-12
1069,1069,Tillæg 5 tabel,FAST,Antal,Res1069  * normtid og arb.dage,"1, 2, 3, 6",nan,Ja,Ja + MDLØN=2,nan,Ja,Nej,Nej,Før,Tillæg,13,nan,"13, 332, 2020",9-Antal,nan,Fritvalgssaldo
1075,1075,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,
1076,1076,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,Kursus
1077,1077,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Lørdagstillæg 06.00-18.00,  Kolonitillæg"
1078,1078,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Personalekøb,  Kantine"
1079,1079,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Massage,  Frokost"
1080,1080,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,
1081,1081,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Kosttillæg,  Genetillæg"
1082,1082,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,
1083,1083,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Overtidstillæg over 3 timer,  Mødetillæg"
1084,1084,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Personalekøb,  Kantine"
1085,1085,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,
1086,1086,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,Overarbejde 50 %
1087,1087,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,Shift Pay (50%)
1088,1088,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Søndagstillæg,  Hjemmevagt tillæg,  hverdage"
1089,1089,Timeløn timer * sats,VARIABEL,"Antal timer, Sats",nan,nan,nan,Ja,nan,nan,Nej,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 2020, 2020","9-Antal timer, 10-Sats",nan,"Entertainment,  Abonnementer"
1090,1090,Timeløn,VARIABEL,Antal timer,Pers9960/Res1090,nan,nan,Ja,nan,nan,Ja,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 332, 2020",9-Antal timer,nan,Bonus
1091,1091,Timeløn,VARIABEL,Antal timer,Pers9961/Res1091,nan,nan,Ja,nan,nan,Ja,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 332, 2020",9-Antal timer,nan,SH-godtgørelse
1092,1092,Timeløn,VARIABEL,Antal timer,Pers9962/Res1092,nan,nan,Ja,nan,nan,Ja,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 332, 2020",9-Antal timer,nan,"Tilkald chauffør under 2 døgn,  Nattillæg"
1093,1093,Timeløn,VARIABEL,Antal timer,Pers9963/Res1093,nan,nan,Ja,nan,nan,Ja,Ja,Ja,Før,Tillæg,"200, 13",nan,"10, 13, 210, 332, 2020",9-Antal timer,nan,"Udkaldstillæg,  Weekly duty LK Commercial"
